[header]
width=5
height=1000
tilewidth=40
tileheight=40
orientation=orthogonal

[tilesets]
tileset=../../../../../Tiled/tileMap01.png,40,40,0,0

[layer]
type=Level 666
data=
182,182,182,182,182
1,1,6,6,0,
1,1,1,6,6,
0,1,101,1,6,
0,0,0,6,6,
0,0,6,6,21,
0,6,6,1,1,
6,6,1,1,1,
6,1,102,1,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,0,2,0,
0,6,161,6,0,
181,183,182,183,181,
104,6,1,6,103,
0,6,1,6,0,
0,6,1,6,0,
0,0,0,0,0,
0,161,61,161,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
2,2,0,2,2,
141,165,0,165,141,
141,1,0,1,141,
141,1,0,1,141,
141,1,2,1,141,
0,1,1,1,0,
0,1,1,1,0,
3,3,3,3,3,
0,27,0,27,0,
0,27,0,27,0,
0,27,87,27,0,
0,0,28,0,0,
0,0,27,0,0,
0,0,2,0,0,
2,162,6,162,2,
0,28,28,28,0,
0,0,27,0,0,
0,28,28,28,0,
181,181,184,181,181,
161,3,3,3,161,
0,141,6,141,0,
0,141,6,141,0,
0,141,1,141,0,
0,141,1,141,0,
0,27,27,27,0,
102,1,6,1,101,
0,6,6,6,0,
0,0,6,6,6,
161,141,1,89,161,
0,1,1,1,0,
0,1,1,1,0,
161,90,1,141,161,
0,1,1,1,0,
0,1,1,1,0,
161,141,1,89,161,
0,28,28,28,0,
0,0,0,0,0,
0,0,0,0,0,
141,22,2,22,141,
142,141,6,141,142,
141,6,6,6,141,
141,6,0,6,141,
141,6,0,6,141,
141,6,6,6,141,
142,141,6,141,142,
141,11,2,11,141,
183,182,182,182,183,
6,1,21,1,6,
161,1,1,1,161,
92,1,1,1,91,
0,1,1,1,0,
0,0,21,1,6,
0,21,1,6,0,
21,1,6,0,0,
1,6,0,0,0,
0,0,0,0,0,
0,0,165,0,0,
0,0,0,0,0,
0,2,0,2,0,
0,6,0,6,0,
0,6,0,6,0,
162,6,1,6,162,
141,1,1,1,141,
90,1,1,1,89,
141,1,1,1,141,
0,1,21,1,0,
141,1,1,1,141,
142,141,1,141,142,
141,1,1,1,141,
142,1,161,1,142,
141,182,182,182,141,
0,0,0,0,0,
0,14,61,14,0,
0,21,6,21,0,
161,1,6,1,161,
3,3,43,3,3,
0,1,1,1,0,
90,1,1,1,89,
141,1,1,1,141,
141,0,0,0,141,
142,0,0,0,142,
141,141,2,141,141,
0,27,27,27,0,
1,1,43,1,1,
0,6,6,6,0,
41,1,1,1,1,
27,27,27,0,0,
6,6,141,0,0,
6,6,6,141,0,
0,6,6,6,141,
0,0,27,27,27,
0,0,141,1,1,
0,141,1,6,6,
141,1,6,6,6,
1,6,6,6,0,
87,25,27,0,0,
182,182,183,182,182,
141,1,6,1,141,
141,1,161,1,141,
141,1,1,1,141,
142,141,1,141,142,
141,1,1,1,141,
0,161,1,161,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
2,2,0,0,0,
1,90,1,0,0,
6,1,90,1,0,
0,6,1,90,1,
0,0,6,1,1,
0,0,0,21,1,
0,165,0,1,1,
165,1,0,1,21,
1,1,0,4,1,
1,0,0,4,3,
0,0,0,0,3,
0,0,0,0,0,
0,0,0,0,0,
161,0,2,0,161,
181,183,182,183,181,
6,1,21,1,6,
0,1,1,1,0,
0,21,1,21,0,
161,1,1,1,161,
0,1,21,1,0,
0,1,6,1,0,
0,0,83,0,0,
0,0,0,0,0,
3,45,0,2,3,
3,3,3,3,3,
3,2,0,6,3,
3,6,0,6,3,
3,6,0,6,2,
0,1,161,1,0,
0,63,1,64,0,
0,1,1,1,0,
161,3,3,3,161,
1,41,6,1,1,
1,1,6,1,1,
1,1,1,41,1,
0,1,1,1,0,
0,1,101,1,0,
0,28,28,28,0,
90,1,1,1,89,
21,1,1,1,21,
183,182,181,182,183,
6,0,0,0,6,
6,1,0,1,6,
21,1,0,1,21,
1,1,161,1,1,
1,4,0,4,1,
1,4,3,4,1,
0,1,3,1,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,21,0,0,
0,27,27,0,0,
0,0,0,27,27,
0,0,0,0,263,
2,21,0,0,0,
1,1,1,0,46,
1,6,21,0,0,
0,6,0,0,2,
1,6,21,0,0,
1,1,1,0,46,
6,21,0,0,0,
6,0,0,0,2,
6,1,0,0,0,
1,1,1,0,0,
141,182,182,182,141,
2,141,1,141,6,
46,0,0,0,46,
0,1,61,1,0,
0,0,0,0,0,
0,61,1,0,0,
162,6,6,162,0,
0,0,6,6,0,
0,0,0,6,6,
0,0,6,6,0,
0,22,6,22,0,
165,1,1,1,165,
6,1,102,1,6,
6,1,1,1,6,
0,1,1,1,0,
0,0,0,0,0,
0,21,61,21,0,
59,59,13,13,1,
1,21,0,0,0,
68,0,0,1,1,
1,1,0,0,67,
0,0,0,21,1,
65,0,0,0,0,
0,67,0,1,0,
0,0,21,61,6,
6,6,6,6,6,
0,6,6,6,0,
0,0,6,0,0,
0,0,0,0,0,
181,181,181,181,181,
2,0,0,0,2,
1,161,0,161,1,
1,6,0,6,1,
0,6,1,6,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,165,0,0,
2,0,0,0,2,
6,0,0,0,6,
6,0,0,0,6,
6,182,181,182,6,
1,1,1,1,1,
21,1,1,1,21,
0,21,1,21,0,
161,6,6,6,161,
0,1,1,1,0,
0,1,1,1,0,
141,1,1,1,141,
142,141,2,141,142,
141,6,6,6,141,
141,9,6,9,141,
141,165,6,165,141,
141,6,6,6,141,
141,0,6,0,141,
141,1,1,1,141,
162,1,1,1,162,
181,181,182,181,181,
0,0,0,0,0,
0,1,1,61,1,
0,0,26,28,28,
0,28,28,28,0,
28,28,28,0,0,
0,0,1,1,1,
0,0,67,21,0,
0,0,1,1,1,
0,0,0,0,0,
0,1,61,1,0,
3,3,3,3,3,
0,27,25,27,0,
0,0,182,182,181,
0,1,1,1,0,
0,1,1,0,0,
0,27,25,27,0,
0,1,1,1,0,
0,0,6,0,0,
162,1,1,1,162,
0,6,0,0,0,
0,0,0,61,0,
0,0,28,28,28,
0,27,27,27,0,
1,1,1,0,86,
28,28,0,0,0,
0,0,0,46,0,
0,0,0,0,0,
0,0,0,2,0,
2,0,0,0,63,
183,181,181,181,183,
6,9,0,9,6,
1,1,1,1,1,
21,1,1,1,21,
0,1,1,1,0,
0,28,28,28,0,
0,7,7,7,0,
26,28,28,28,26,
0,1,1,1,0,
0,0,0,0,0,
0,0,0,0,0,
0,181,181,181,0,
0,0,2,0,0,
0,1,1,1,0,
8,1,41,1,8,
141,1,1,1,141,
141,1,1,1,141,
90,1,1,1,89,
141,1,1,1,141,
21,1,1,1,21,
6,1,42,1,6,
0,1,1,1,0,
0,6,6,6,0,
0,0,6,0,0,
0,6,0,6,0,
6,0,6,0,6,
0,0,2,0,0,
181,183,182,183,181,
161,6,1,6,161,
0,0,1,0,0,
6,0,6,0,6,
0,6,0,6,0,
0,0,6,0,0,
0,2,0,2,0,
6,1,41,1,6,
6,1,1,1,6,
102,6,1,6,101,
6,1,1,1,6,
1,1,161,1,1,
0,182,182,1,0,
0,9,1,9,0,
0,1,1,1,0,
0,1,1,1,0,
0,21,6,21,0,
21,6,6,6,21,
6,6,0,6,6,
6,0,0,0,6,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,101,2,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
181,181,184,181,181,
0,21,6,21,0,
1,0,6,0,1,
68,0,9,0,67,
1,0,0,0,1,
0,0,1,0,0,
65,0,1,0,65,
0,161,61,161,0,
0,13,13,13,0,
0,1,1,1,0,
0,102,1,1,0,
0,27,27,27,0,
0,1,1,1,0,
0,1,1,101,0,
0,27,27,27,0,
0,1,1,1,0,
0,21,1,21,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,0,2,0,
0,547,0,546,0,
0,547,6,546,0,
6,6,6,6,6,
0,91,9,92,0,
269,89,1,90,269,
269,89,1,90,269,
0,141,1,141,0,
181,183,183,183,181,
1,9,6,9,1,
0,0,0,0,0,
0,1,61,1,0,
0,21,1,21,0,
0,28,28,28,0,
27,27,25,0,0,
0,27,27,27,0,
181,181,0,6,6,
0,0,6,6,6,
0,6,6,6,0,
9,1,102,1,9,
0,28,28,28,0,
0,0,28,28,0,
0,0,0,28,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,101,2,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,102,2,0,
0,0,0,0,0,
0,0,0,0,0,
181,181,181,181,181,
2,9,0,9,2,
547,6,9,6,546,
547,6,1,6,546,
0,547,6,546,0,
0,547,6,546,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,21,2,21,0,
0,1,1,1,0,
0,0,1,0,0,
0,0,181,181,0,
6,2,0,2,6,
6,6,0,6,6,
6,0,0,0,6,
0,0,0,0,0,
61,0,86,0,61,
6,0,0,0,6,
6,1,46,1,6,
161,1,1,1,161,
1,1,2,1,1,
1,2,1,2,1,
2,1,1,1,2,
0,1,0,1,0,
0,27,163,27,0,
0,27,0,27,0,
6,183,181,6,183,
6,89,1,90,6,
0,21,1,21,0,
269,89,0,90,269,
0,27,0,27,0,
0,27,0,27,0,
0,2,0,2,0,
9,6,0,6,9,
141,6,6,6,141,
142,141,6,141,142,
269,89,1,90,269,
141,1,21,1,141,
141,182,182,182,141,
22,3,3,3,22,
0,0,161,1,67,
0,0,0,0,0,
0,1,61,1,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
2,0,0,0,2,
6,21,0,21,6,
6,6,21,6,6,
6,6,6,6,6,
21,6,6,6,21,
0,1,101,1,0,
0,1,1,1,0,
181,182,182,182,181,
0,1,102,1,0,
0,6,1,1,0,
0,6,6,1,0,
0,1,6,6,0,
0,1,21,6,0,
0,1,1,1,0,
0,0,1,0,0,
0,0,0,0,0,
3,0,0,0,3,
3,4,0,4,3,
2,4,3,4,2,
1,1,3,1,1,
141,1,1,1,141,
142,141,1,141,142,
141,6,0,6,141,
6,0,0,0,6,
0,0,0,0,0,
21,2,0,2,21,
0,28,164,28,0,
0,27,0,27,0,
0,6,0,6,0,
0,6,0,6,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
181,182,182,182,181,
21,1,1,1,21,
0,547,21,546,0,
0,547,1,546,0,
0,547,1,546,0,
161,0,0,0,161,
0,0,61,0,0,
0,0,0,0,0,
0,0,61,0,0,
0,1,13,1,0,
8,1,1,1,8,
8,1,1,1,8,
8,6,1,6,8,
0,6,1,6,0,
0,1,1,1,0,
0,1,1,1,0,
0,6,1,6,0,
1,0,6,0,1

